id,eventType,teamId,playerId,playerName,x,y,min,minAdded,isBlocked,isOnTarget,blockedX,blockedY,goalCrossedY,goalCrossedZ,expectedGoals,expectedGoalsOnTarget,shotType,situation,period,isOwnGoal,onGoalShot,isSavedOffLine,isFromInsideBox,keeperId,firstName,lastName,fullName,teamColor,matchRound,teamName,h_a,source_file
2795218637,Miss,10076,949735,Facundo Colidio,83.94902912639999,47.4338853472,8,,False,False,,,30.316,6.8787586344000005,0.0145113579928874,0.0,RightFoot,RegularPlay,FirstHalf,False,"{'x': 1.3627084855844416, 'y': 0.6772486772486772, 'zoomRatio': 0.372160172505209}",False,False,,Facundo,Colidio,Facundo Colidio,#D01028,1,River Plate,a,universitario-de-deportes-vs-river-plate.csv
2795221171,AttemptSaved,10076,949735,Facundo Colidio,95.640350876,45.8924840726,12,,False,True,101.5862068968,39.124761906,34.68625,1.1814736784,0.0901765674352645,0.0871191769838333,LeftFoot,RegularPlay,FirstHalf,False,"{'x': 0.8184523809523807, 'y': 0.31255917417989415, 'zoomRatio': 1}",False,True,343431.0,Facundo,Colidio,Facundo Colidio,#D01028,1,River Plate,a,universitario-de-deportes-vs-river-plate.csv
2795221471,AttemptSaved,10076,469616,Maximiliano Meza,88.8,44.9816560467,12,,True,True,90.6,43.7905732436,34.07625,1.219999994,0.0254399329423904,0.0,LeftFoot,RegularPlay,FirstHalf,False,"{'x': 0.9798280423280419, 'y': 0.32275132116402117, 'zoomRatio': 1}",False,True,,Maximiliano,Meza,Maximiliano Meza,#D01028,1,River Plate,a,universitario-de-deportes-vs-river-plate.csv
2795223825,Miss,10076,469616,Maximiliano Meza,96.5087719289,38.452380954,17,,False,False,100.6379310348,31.94125,17.4132484093,0.7127368386,0.0344617255032062,0.0,Header,FromCorner,FirstHalf,False,"{'x': 2, 'y': 0.042970248556662725, 'zoomRatio': 0.2278927238603731}",False,True,,Maximiliano,Meza,Maximiliano Meza,#D01028,1,River Plate,a,universitario-de-deportes-vs-river-plate.csv
2795223853,Goal,10076,447556,Paulo Diaz,99.0175438595,32.39875,17,,False,True,,,36.135000000000005,0.2054736832,0.2425233721733093,0.9063346982002258,RightFoot,FromCorner,FirstHalf,False,"{'x': 0.4351851851851839, 'y': 0.05435811724867726, 'zoomRatio': 1}",False,True,343431.0,Paulo,Diaz,Paulo Diaz,#D01028,1,River Plate,a,universitario-de-deportes-vs-river-plate.csv
2795224541,Miss,10076,949735,Facundo Colidio,100.6379310348,31.1025,17,,False,False,101.0172413796,33.695,43.3701910778,0.1797894728,0.5280308127403259,0.0,LeftFoot,FromCorner,FirstHalf,False,"{'x': 0, 'y': 0.019187385967609553, 'zoomRatio': 0.4034069282701858}",False,True,,Facundo,Colidio,Facundo Colidio,#D01028,1,River Plate,a,universitario-de-deportes-vs-river-plate.csv
2795225957,Miss,10076,949735,Facundo Colidio,99.1140350876,30.28,21,,False,False,,,33.00875,3.4984827616,0.2059473991394043,0.0,Header,RegularPlay,FirstHalf,False,"{'x': 1.191889683919931, 'y': 0.6772486772486772, 'zoomRatio': 0.7317457807993334}",False,True,,Facundo,Colidio,Facundo Colidio,#D01028,1,River Plate,a,universitario-de-deportes-vs-river-plate.csv
2795227471,AttemptSaved,4409,389888,Gabriel Costa,79.21893204,34.4575,24,,True,True,88.8,34.68625,35.143750000000004,1.219999994,0.1060036793351173,0.0,RightFoot,FreeKick,FirstHalf,False,"{'x': 0.6974206349206338, 'y': 0.32275132116402117, 'zoomRatio': 1}",False,False,,Gabriel,Costa,Gabriel Costa,#b8a77a,1,Universitario de Deportes,h,universitario-de-deportes-vs-river-plate.csv
2795227943,AttemptSaved,10076,469616,Maximiliano Meza,78.3179611664,40.385476191,25,,False,True,103.2931034484,34.1525,33.92375,1.3805263090000002,0.0111328214406967,0.0088712759315967,RightFoot,RegularPlay,FirstHalf,False,"{'x': 1.0201719576719581, 'y': 0.3652186002645503, 'zoomRatio': 1}",False,False,343431.0,Maximiliano,Meza,Maximiliano Meza,#D01028,1,River Plate,a,universitario-de-deportes-vs-river-plate.csv
2795237701,Miss,4409,263619,Andy Polo,83.2733009712,21.2667515958,45,1.0,False,False,,,41.425625,2.2281052522,0.021145099774003,0.0,RightFoot,RegularPlay,FirstHalf,False,"{'x': 0, 'y': 0.3000562581870215, 'zoomRatio': 0.5090480599276158}",False,False,,Andy,Polo,Andy Polo,#b8a77a,1,Universitario de Deportes,h,universitario-de-deportes-vs-river-plate.csv
