id,eventType,teamId,playerId,playerName,x,y,min,minAdded,isBlocked,isOnTarget,blockedX,blockedY,goalCrossedY,goalCrossedZ,expectedGoals,expectedGoalsOnTarget,shotType,situation,period,isOwnGoal,onGoalShot,isSavedOffLine,isFromInsideBox,keeperId,firstName,lastName,fullName,teamColor,teamName
2795215565,AttemptSaved,10101,835409,Nahuel Lautaro Bustos,74.4888349536,35.220000000000006,3,,True,True,83.6111650488,34.533750000000005,32.779999999999994,1.2199999940000001,0.0403461679816246,0.0,RightFoot,FreeKick,FirstHalf,False,"{'x': 1.3227513227513243, 'y': 0.32275132116402117, 'zoomRatio': 1}",False,False,,Nahuel Lautaro,Bustos,Nahuel Lautaro Bustos,#1B2F62,Talleres de Córdoba
2795219211,Miss,10277,808159,Enzo Hernan Diaz,84.51213592239999,48.4147770674,9,,False,False,90.8,38.78857143,24.4896815336,0.9824210478000001,0.009557760320603848,0.0,LeftFoot,FromCorner,FirstHalf,False,"{'x': 2, 'y': 0.1033005415403173, 'zoomRatio': 0.39746303063927435}",False,False,,Enzo Hernan,Diaz,Enzo Hernan Diaz,#A01215,São Paulo
2795224419,AttemptSaved,10101,1241957,Matias Galarza,76.0655339824,42.928749999999994,19,,True,True,79.55679611760002,42.235,35.0675,1.2199999940000001,0.00630499143153429,0.0,LeftFoot,RegularPlay,FirstHalf,False,"{'x': 0.7175925925925919, 'y': 0.32275132116402117, 'zoomRatio': 1}",False,False,,Matias,Galarza,Matias Galarza,#1B2F62,Talleres de Córdoba
2795224817,AttemptSaved,10277,449684,Alisson,86.889705882,31.026249999999997,20,,True,True,88.1779411764,31.4075,36.745000000000005,1.2199999940000001,0.04027126729488373,0.0,RightFoot,RegularPlay,FirstHalf,False,"{'x': 0.2738095238095226, 'y': 0.32275132116402117, 'zoomRatio': 1}",False,False,,,Alisson,Alisson,#A01215,São Paulo
2795229653,AttemptSaved,10101,1281230,Juan Camilo Portilla,76.5160194192,40.385476190999995,30,,False,True,103.9568965518,33.466249999999995,35.6775,0.28252631440000003,0.00891073141247034,0.11835750192403793,RightFoot,FromCorner,FirstHalf,False,"{'x': 0.5562169312169307, 'y': 0.07474241121693122, 'zoomRatio': 1}",False,False,127892.0,Juan Camilo,Portilla,Juan Camilo Portilla,#1B2F62,Talleres de Córdoba
2795238167,Miss,10101,1281230,Juan Camilo Portilla,74.714077672,46.312866238400005,45,3.0,False,False,,,22.597961787499997,6.8787586344000005,0.011411208659410477,0.0,RightFoot,RegularPlay,FirstHalf,False,"{'x': 2, 'y': 0.6032920172867732, 'zoomRatio': 0.33151967477674327}",False,False,,Juan Camilo,Portilla,Juan Camilo Portilla,#1B2F62,Talleres de Córdoba
2795244273,AttemptSaved,10277,160627,Cédric Soares,82.03446602,28.707142856,50,,False,True,103.9568965518,33.00875,30.95,0.3659999982,0.029462644830346107,0.13232988119125366,RightFoot,RegularPlay,SecondHalf,False,"{'x': 1.806878306878306, 'y': 0.09682539634920634, 'zoomRatio': 1}",False,False,322966.0,Cédric,Soares,Cédric Soares,#A01215,São Paulo
2795245351,Miss,10101,994916,Federico Girotti,85.81617647,43.440254772100005,54,,False,False,,,21.0565605129,0.8925263114,0.03199920430779457,0.0,RightFoot,RegularPlay,SecondHalf,False,"{'x': 2, 'y': 0.06895588396650913, 'zoomRatio': 0.29203984024241114}",False,False,,Federico,Girotti,Federico Girotti,#1B2F62,Talleres de Córdoba
2795245939,AttemptSaved,10277,342941,Robert Arboleda,95.73684210409999,37.696,56,,False,True,104.3362068966,34.38125,31.559999999999995,0.9759999952,0.029800236225128174,0.1769423633813858,Header,FromCorner,SecondHalf,False,"{'x': 1.6455026455026467, 'y': 0.2582010569312169, 'zoomRatio': 1}",False,True,322966.0,Robert,Arboleda,Robert Arboleda,#A01215,São Paulo
2795250633,AttemptSaved,10101,797871,Emanuel Reynoso,77.529611652,34.533750000000005,68,,True,True,82.597572816,34.38125,33.8475,1.2199999940000001,0.021669557318091393,0.0,LeftFoot,RegularPlay,SecondHalf,False,"{'x': 1.0403439153439162, 'y': 0.32275132116402117, 'zoomRatio': 1}",False,False,,Emanuel,Reynoso,Emanuel Reynoso,#1B2F62,Talleres de Córdoba
2795250675,AttemptSaved,10101,729090,Blas Riveros,80.79563106879999,46.7332484042,68,,True,True,84.3995145632,45.05171974100001,34.0,1.2199999940000001,0.017233770340681076,0.0,LeftFoot,RegularPlay,SecondHalf,False,"{'x': 1, 'y': 0.32275132116402117, 'zoomRatio': 1}",False,False,,Blas,Riveros,Blas Riveros,#1B2F62,Talleres de Córdoba
2795250869,Miss,10101,1201814,Juan Portillo,96.50877192889999,26.774047619,69,,False,False,,,27.53047619,7.4783448432,0.026052553206682205,0.0,Header,FromCorner,SecondHalf,False,"{'x': 1.585888526755404, 'y': 0.6772486772486772, 'zoomRatio': 0.3423217374534136}",False,True,,Juan,Portillo,Juan Portillo,#1B2F62,Talleres de Córdoba
2795251369,AttemptSaved,10101,1281230,Juan Camilo Portilla,84.286893204,37.756,70,,True,True,86.4602941172,37.696,33.92375,1.2199999940000001,0.026801221072673798,0.0,RightFoot,RegularPlay,SecondHalf,False,"{'x': 1.0201719576719581, 'y': 0.32275132116402117, 'zoomRatio': 1}",False,False,,Juan Camilo,Portilla,Juan Camilo Portilla,#1B2F62,Talleres de Córdoba
